status1,ean,asin,brand,Weblink,product_description,image_location,Amazon_Item_model_number,Amazon_Bestsellers_Rank,Bullet_Description,Amazon_Landed_Price,IPG_Cat_Desc_1_name,IPG_Cat_Desc_1_P,Item_Weight,Dimensions,shipping_weight,ProductDimensions
56,product_barcode,sd,,https://www.amazon.co.uk/dp/sd,,,,,,,,,,NA,,NA
56,0094376949834,B0049V2YU0,"Winsor & Newton",https://www.amazon.co.uk/dp/B0049V2YU0,"Artisan Water Mixable Oil Colour is a genuine oil colour made from modified linseed oil and modified sunflower oil. It has been specifically developed to appear and work just like conventional oil colour.</P><P></P><P> The depth of colour, buttery consistency, lightfastness, opacity/transparency, performance and drying times of Artisan allow artists to use this range for all oil colour techniques.</P><P></P><P>The key difference between Artisan Water Mixable Oil Colour and conventional oils is their additional ability to mix with water. After painting, brushes can be cleaned using only soap and water.</P><P></P><P>Artisan is popular with oil painters who do not like the smell of turpentine or wish to cut down or eliminate the use of traditional solvents. As a result of avoiding such solvents, painting with Artisan is less hazardous, which can be particularly useful in art schools or enclosed spaces.</P><P></P><P>A range of unique Artisan Water Mixable Mediums has also been developed to allow the full range of traditional oil colour techniques and styles to be achieved.",https://images-eu.ssl-images-amazon.com/images/I/41LqMvJ8tCL.jpg,1537644,173122,"Specifically developed to appear and work just like conventional oil colour,Can be thinned and cleaned up with water,Hazardous solvents are not necessary for Artisan Oil",14.71,Paints,Painting,"358 g","4.9 x 4.9 x 21.8 cm","880 g",
56,0094376968729,B0060KOE0G,"Winsor & Newton",https://www.amazon.co.uk/dp/B0060KOE0G,"A unique removable gloss varnish for the protection of finished artwork. This product can also be mixed with Galeria Matt Varnish to vary the final finish. Bottle: 75ml",https://images-eu.ssl-images-amazon.com/images/I/51JXUxna20L.jpg,,,,5.00,"Paint Reducers",Painting,,NA,,NA
56,0094376916959,B000KNJ5SK,"Winsor & Newton",https://www.amazon.co.uk/dp/B000KNJ5SK,"Winsor & Newton have developed the Griffin Alkyd Fast Drying Oil Colour range offering unique features not found in traditional oils or acrylics.</P><P></P><P> This unique formulation allows Griffin Alkyd Oils to dry quicker than most oil colours but slower than acrylics, meaning that artists can now enjoy all the benefits of using a conventional oil colour with the convenience of completing a painting which is touch dry in a day.",https://images-eu.ssl-images-amazon.com/images/I/41FM48-IPIL.jpg,1914415,117247,"A fast-drying oil colour for quick sessions which is touch dry in 24 hours.,Series: 1 / Colour Code: 415 / Colour Index: PW6,Permanence: AA / Opacity: Opaque,Includes a 1.25oz / 37ml tube of Winsor & Newton Griffin Alkyd Fast Drying Oil Colour,Conforms to ASTM D4263",4.52,Paints,"Home & Garden","45.4 g","2.5 x 3.9 x 10.6 cm",,NA
56,5900422002864,B000NJZXHS,DisplayMount,https://www.amazon.co.uk/dp/B000NJZXHS,,https://images-eu.ssl-images-amazon.com/images/I/41lrldXuD9L.jpg,GS200034899,14701,"The ultimate strength spray adhesive,Holds instantly and sets quickly to form a secure, ideal bond,Use for mounting or bonding of heavyweight materials,Ideal for exhibitions, point of sale, studio and theatre sets,Clear and non-staining",12.50,"Adhesive Sprays",Adhesives,"399 g","6 x 6 x 20 cm",,NA
56,3148950064608,B008VT2JAQ,Canson,https://www.amazon.co.uk/dp/B008VT2JAQ,"canson cuaderno cosido 14x21,6cm 80 hojas 96g. apertura horizontal con cierre magnético 200006460",https://images-eu.ssl-images-amazon.com/images/I/519TNy%2BJ9dL.jpg,200006460,347950,"ArtBook 180°  is a sketchbook by Canson. It is 14x21.6cm and includes 80 sheets of 96gsm drawing paper.,This sketchbook features round corners hard black cover with secure magnetic closure. It lays completely flat making it so practical to use.,It includes top-quality natural white and acid-free drawing paper Crob'Art by Canson. This paper withstands repeated erasing with no damage occuring to the paper surface .,ArtBook 180° is perfect to use with pencil, charcoal, pastel or felt pen as well as for taking notes.,Easy to carry around with you to draw everywhere you want.",10.20,"Roll Paper",Paper,"299 g","21.6 x 14 x 1.8 cm",,NA
56,3148950064592,B008VT2J38,Canson,https://www.amazon.co.uk/dp/B008VT2J38,"canson cuaderno cosido 8,9x14cm. 80 hojas 96g. apertura horizontal con cierre magnético 200006459",https://images-eu.ssl-images-amazon.com/images/I/51%2BO6l2mdkL.jpg,200006459,1260161,"ArtBook 180°  is a sketchbook by Canson. It is 8.9x14cm and includes 80 sheets of 96gsm drawing paper.,This sketchbook features round corners hard black cover with secure magnetic closure. It lays completely flat making it so practical to use.,It includes top-quality natural white and acid-free drawing paper Crob'Art by Canson. This paper withstands repeated erasing with no damage occuring to the paper surface .,ArtBook 180° is perfect to use with pencil, charcoal, pastel or felt pen as well as for taking notes.,Easy to carry around with you to draw everywhere you want.",5.16,"Roll Paper",Paper,"141 g","14 x 8.9 x 1.8 cm",,NA
56,3148950064615,B008VT2JFG,Canson,https://www.amazon.co.uk/dp/B008VT2JFG,"canson cuaderno cosido 21x29,7cm. 80 hojas 96g. apertura horizontal con cierre magnético 200006461",https://images-eu.ssl-images-amazon.com/images/I/51ZZYpl7ldL.jpg,200006461,209183,"ArtBook 180°  is a sketchbook by Canson. It is A4 (21x29.7cm) and includes 80 sheets of 96gsm drawing paper.,This sketchbook features round corners hard black cover with secure magnetic closure. It lays completely flat making it so practical to use.,It includes top-quality natural white and acid-free drawing paper Crob'Art by Canson. This paper withstands repeated erasing with no damage occuring to the paper surface .,ArtBook 180° is perfect to use with pencil, charcoal, pastel or felt pen as well as for taking notes.,Easy to carry around with you to draw everywhere you want.",10.06,"Roll Paper",Paper,"699 g","29.7 x 21 x 1.8 cm",,NA
56,3148950060082,B06VY2ZTXJ,Canson,https://www.amazon.co.uk/dp/B06VY2ZTXJ,"Noteworthy for the grain ""The Machine, which is kept in its natural state, which gives it a unique touch. Its texture, its absorption capacity and its high basis weight make Imagine a versatile medium both suitable for dry and gouache or watercolor painting.",https://images-eu.ssl-images-amazon.com/images/I/31JQR4qhI-L.jpg,,,,,"Drawing Pads & Books",Paper,,"30 x 22 x 1 cm",,NA
56,3013645000172,B000OSH8SK,Conte,https://www.amazon.co.uk/dp/B000OSH8SK,"<p>The exceptional diameter of the Conté à Paris pastel pencil (5 mm) lead gives genuine freedom of creation and has an unrivalled feel. The pastel is a perfect pencil companion to soft pastel because it's lead is slightly harder with less pigment. It is preferable to Conté soft pastels and crayons when detail is required for small and medium sized formats. In contrast with soft pastel, pastel pencil should not be added in successive layers of colours, but used as pure colours laid out in patchwork fashion side by side (so as not to dull the shades).</p>",https://images-eu.ssl-images-amazon.com/images/I/51a4SldUmqL.jpg,2184,61754,"Contains 48 pastel pencils,Recommended for detailed and accurate work,Suitable for artists at all levels,Diameter of the pencil is 8.5mm, lead 5mm",32.48,"Pens, Pencils & Writing Supplies","Drawing Media","522 g","36.5 x 27.5 x 1.3 cm",,NA
