ean,asin,brand,Weblink,product_description,image_location,Amazon_Item_model_number,Amazon_Bestsellers_Rank,Bullet_Description,Amazon_Landed_Price,IPG_Cat_Desc_1_name,IPG_Cat_Desc_1_P,dim,le,wi,hi,we
product_barcode,NA,,https://www.amazon.co.uk/dp/NA,,,,,,,,,NA,NA,,,NA
0094376949834,B0049V2YU0,"Winsor & Newton",https://www.amazon.co.uk/dp/B0049V2YU0,"Artisan Water Mixable Oil Colour is a genuine oil colour made from modified linseed oil and modified sunflower oil. It has been specifically developed to appear and work just like conventional oil colour.</P><P></P><P> The depth of colour, buttery consistency, lightfastness, opacity/transparency, performance and drying times of Artisan allow artists to use this range for all oil colour techniques.</P><P></P><P>The key difference between Artisan Water Mixable Oil Colour and conventional oils is their additional ability to mix with water. After painting, brushes can be cleaned using only soap and water.</P><P></P><P>Artisan is popular with oil painters who do not like the smell of turpentine or wish to cut down or eliminate the use of traditional solvents. As a result of avoiding such solvents, painting with Artisan is less hazardous, which can be particularly useful in art schools or enclosed spaces.</P><P></P><P>A range of unique Artisan Water Mixable Mediums has also been developed to allow the full range of traditional oil colour techniques and styles to be achieved.",https://images-eu.ssl-images-amazon.com/images/I/41LqMvJ8tCL.jpg,1537644,119773,"Specifically developed to appear and work just like conventional oil colour,Can be thinned and cleaned up with water,Hazardous solvents are not necessary for Artisan Oil",17.93,Paints,Painting,"4.9 x 4.9 x 21.8 cm",4.9,4.9,21.8,"358 g"
0094376968729,B0060KOE0G,"Winsor & Newton",https://www.amazon.co.uk/dp/B0060KOE0G,"A unique removable gloss varnish for the protection of finished artwork. This product can also be mixed with Galeria Matt Varnish to vary the final finish. Bottle: 75ml",https://images-eu.ssl-images-amazon.com/images/I/51JXUxna20L.jpg,,,,5.00,"Paint Reducers",Painting,NA,NA,,,NA
3360372100515,B01AK5IJWA,"Giorgio Armani",https://www.amazon.co.uk/dp/B01AK5IJWA,"GIORGIO ARMANI CODE EAU DE TOILETTE HOMME VAPORISATEUR 50 ML ...",https://images-eu.ssl-images-amazon.com/images/I/31lRIhVhojL.jpg,,,,67.99,"Eau de Toilette",Men,NA,NA,,,NA
3360372100522,B01AK4RK9O,"Giorgio Armani",https://www.amazon.co.uk/dp/B01AK4RK9O,,https://images-eu.ssl-images-amazon.com/images/I/31vI0iUNIAL.jpg,,,,49.66,"Eau de Toilette",Men,NA,NA,,,NA
85715163134,B01FUS6ORY,"Abercrombie & Fitch",https://www.amazon.co.uk/dp/B01FUS6ORY,"First Instinct by Abercrombie & Fitch was launched in 2016 and is a mysterious masculine scent. Top notes are Gin, Tonic Water, and Melon, middle notes are Szechuan Pepper, Violet Leaves, and Citrus. Base notes follow with Suede, Musk, and Amber.",https://images-eu.ssl-images-amazon.com/images/I/31iu17lVjlL.jpg,0085715163134,37290,"Content - 30 ml,Brand - Abercrombie & Fitch,Original and exclusive health and personal care products",18.20,Aftershaves,Gender,"45 x 40 x 30 cm ; 181 g",45,40,30,"181 g"
085715163127,B01FUSC80Q,"Abercrombie & Fitch",https://www.amazon.co.uk/dp/B01FUSC80Q,"First Instinct by Abercrombie & Fitch was launched in 2016 and is a mysterious masculine scent. Top notes are Gin, Tonic Water, and Melon, middle notes are Szechuan Pepper, Violet Leaves, and Citrus. Base notes follow with Suede, Musk, and Amber.",https://images-eu.ssl-images-amazon.com/images/I/41YXU3QZ86L.jpg,0085715163127,17672,"Content - 50 ml,Brand - Abercrombie & Fitch,Original and exclusive health and personal care products",19.00,Aftershaves,Gender,"45 x 40 x 30 cm ; 259 g",45,40,30,"259 g"
3605521312617,B009FBS4S0,"Giorgio Armani",https://www.amazon.co.uk/dp/B009FBS4S0,"Giorgio Armani introduces Diamonds For Men the fragrance. A man, sharp and unique, who conveys an image of a bold and elegant personality with enigmatic presence. He is the definition of masculinity and desire. He is the living image of seduction and sexiness creating the aura of energy and confidence. Unique. An opening of bergamot rolls into smoky sophisticated guaiac wood and vetiver. A splash of cedar adds character whilst Sichuan pepper reawakens the fragrance's spirit. At the base, Cacao provides a sensuous experience with just a lick of bitterness, rounded up by a warming glaze of amber.",https://images-eu.ssl-images-amazon.com/images/I/41ckYng78HL.jpg,DIA19,53142,"Giorgio Armani introduces Diamonds For Men the fragrance, A man, sharp and unique, who conveys an image of a bold and elegant personality,He is the definition of masculinity and desire.",24.29,Aftershaves,Men,"7.5 x 3.5 x 10.5 cm",7.5,3.5,10.5,"99.8 g"
3605520380976,B009QZB5SG,"Giorgio Armani",https://www.amazon.co.uk/dp/B009QZB5SG,"SIZE: 30ml (1 Fl.Oz); TYPE: EDT Spray; GENDER: Male",https://images-eu.ssl-images-amazon.com/images/I/51ft9z2hknL.jpg,23346,189449,"100% GENUINE, BRAND NEW & BOXED,Picture for Illustration Purposes Only",25.32,"Eau de Toilette",Men,NA,NA,,,"454 g"
688003105054,B000Q389TU,"Ted Baker",https://www.amazon.co.uk/dp/B000Q389TU,"Ted Baker M by Ted Baker opens with a fresh sparkling note of Japanese yuzu, roseberry and black peppercorn. The heart blooms its signature with coriander, elemi oil and guaiacwood resin. The base is rich with vetiver, tonka bean and grey musk. A very masculine fragrance.",https://images-eu.ssl-images-amazon.com/images/I/418GVlwssBL.jpg,23929,86358,"Fragrance from Ted Baker,An Eau De Toilette Spray for Men,Ted Baker ""M"", launched by Ted Baker in 2003,Top notes of japanese yuzu, roseberry, black pepper, elemi. guaiac,30ml Bottle",9.35,Aftershaves,"Home & Garden","20 x 20 x 10 cm",20,20,10,"200 g"
