name,asin,Good,Good_S,VeryGood_S,Acceptable_S,LIKEnew_S,VeryGood,Acceptable,LIKEnew,isbn,ean,title,Product_Page_Link,brand,Publisher,manufacturer,publicationdate,Edition,numberofpages,salesrank,New_MFN_Price,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight,label,buybox_price,totalnew,totalused,totalcollectible,totalrefurbished,status1
"Library - Family Room - Bookcase 6",1921963395,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,11
"Library - Family Room - Bookcase 6",0143037552,6.08,3.99,3.99,,0.00,6.33,,45.61,0143037552,9780143037552,"How to Achieve True Greatness (Penguin Great Ideas)",https://www.amazon.com/dp/0143037552,,"Penguin Books","Penguin Books",2006-05-30,,112,1243840,$29.50,50,720,390,5,714,440,35,19,"Penguin Books",,3,12,0,0,11
"Library - Family Room - Bookcase 6",0553347845,0.10,4.89,3.99,0.00,,1.79,4.99," ",0553347845,9780553347845,"What Do You Care What Other People Think? Further Adventures of a Curious Character",https://www.amazon.com/dp/0553347845,,Bantam,Bantam,1989-10-01,Reissue,256,2235421,$2.99,70,810,510,60,875,525,75,,Bantam,$3.98,17,104,7,0,11
"Library - Family Room - Bookcase 6",4894442027,21.15,3.98,,2.99,,,23.05," ",4894442027,9784894442023,?????????????,https://www.amazon.com/dp/4894442027,,,,,,,,,,,,,,,,,,,0,4,0,0,11
"Library - Family Room - Bookcase 6",0283998288,2.96,3.99,3.99,,,2.97,," ",0283998288,9780283998287,"Forces of Change: Why We are the Way We are Now",https://www.amazon.com/dp/0283998288,,"Sidgwick & Jackson Ltd","Sidgwick & Jackson Ltd",1989-04-13,1st,288,7355717,$48.75,142,913,606,146,949,630,130,,"Sidgwick & Jackson Ltd",,5,12,0,0,11
"Library - Family Room - Bookcase 6",0140249850,5.19,0.00,0.00,3.99,,5.99,1.01," ",0140249850,9780140249859,Stalingrad,https://www.amazon.com/dp/0140249850,,"Penguin USA (P)","Penguin USA (P)",2000-05,"New edition",512,2025994,$35.55,157,913,614,146,921,606,154,0,"Penguin USA (P)",,4,96,3,0,11
"Library - Family Room - Bookcase 6",0712698027,15.95,3.99,3.99,,7.49,13.00,,18.00,0712698027,9780712698023,"The Civil War Volume I (v. 1)",https://www.amazon.com/dp/0712698027,,Pimlico,Pimlico,1992-05-01,"New Edition",856,5598671,,181,906,638,247,921,638,173,246,Pimlico,,0,5,1,0,11
"Library - Family Room - Bookcase 6",1846142849,4.57,3.99,3.99,,9.00,4.56,,7.95,1846142849,9781846142840,"The Defence of the Realm: The Authorized History of MI5",https://www.amazon.com/dp/1846142849,,"Allen Lane","Allen Lane",2009,"Open Market Ed",,9561845,$182.10,230,920,600,350,921,602,228,0,"Allen Lane",,1,7,0,0,11
"Library - Family Room - Bookcase 6",0712698078,45.20,3.99,,,3.99,,,19.00,0712698078,9780712698078,"The Civil War Volume II (Vol 2)",https://www.amazon.com/dp/0712698078,,Pimlico,Pimlico,1992-05-01,,1000,9936786,$39.95,220,906,622,273,917,618,209,,Pimlico,,1,2,1,0,11
"Library - Family Room - Bookcase 6",0712698124,,,3.99,0.00,3.99,3.50,7.48,26.00,0712698124,9780712698122,"The Civil War Volume III (v. 3)",https://www.amazon.com/dp/0712698124,,Pimlico,Pimlico,1992-05-01,,1120,8661615,$103.40,228,913,638,326,921,638,217,324,Pimlico,,2,4,0,0,11
