ean,asin,Weblink,product_description,image_location,Amazon_Item_model_number,Amazon_Bestsellers_Rank,Bullet_Description,Amazon_Landed_Price,IPG_Cat_Desc_1_name,IPG_Cat_Desc_1_P,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight
5900422003175,B003N5J2PS,https://www.amazon.com/dp/B003N5J2PS,"3M PMOUNT - Photo Mount Adhesive Spray CFC-Free 400ml PM400",https://images-eu.ssl-images-amazon.com/images/I/21Gc-c08vgL.jpg,PMOUNT,,"Strong, permanent pH neutral 'rosol adhesive for photos, maps, illustrations etc, gives time to position before complete bonding takes place Kit - non-yellowing, UV resistant and stain resistant CFC-free, recyclable and does not cause ozo,Ne exhaustion can 400 ml.,ond043010",13.39,"Adhesive Sprays","Electronics & Photo",,,,,,,,
5028252404785,B00MR5HWNY,https://www.amazon.com/dp/B00MR5HWNY,"Graphik Line Painters are a fine line paint pen that gives immense depth of colour, even on dark backgrounds. Create layers, dribbles and washes with the opaque waterbased ink in 20 strong colours. The 0.5 Japan nib is robust and delivers a fluid paint line. Warning the ink is permanent once dry. <br />",https://images-eu.ssl-images-amazon.com/images/I/21WZFAFJM9L.jpg,,197324,"20 Colours,Dilute with Water,Immense Depth of Colour - even on dark backgrounds,Permanent Water Based Paint",3.25,Paints,"Arts & Crafts",0.3,5.2,0.3,0.05,0.59,5.51,0.59,0.02
5028252404846,B00MR5I2RE,https://www.amazon.com/dp/B00MR5I2RE,"Graphik Line Painters are a fine line paint pen filled with lightfast, permanent, opaque waterbased paint in 20 colors. The 0.5 Japan nib is robust and delivers a fluid paint line. Dilutes with water so you can create washes and add layers. This pack contains Brickroad #01, Tom #03, Herring #04, Paradise #11, Minted #12.",https://images-eu.ssl-images-amazon.com/images/I/51WoPN2N%2BzL.jpg,230-2230,11654,"0.5 Japan nib is robust and delivers a fluid paint line,Water soluble paint allows layering when dry,Suitable for all your artistic projects",4.60,Fineliners,"Pens & Refills",0.79,5.59,2.91,0.13,6,0.66,3.25,0.13
5028252404877,B00MR5I7SS,https://www.amazon.com/dp/B00MR5I7SS,"Graphik Line Painters are a fine line paint pen filled with lightfast, permanent, opaque waterbased paint in 20 colors. The 0.5 Japan nib is robust and delivers a fluid paint line. This pack contains Clockwork #02, Brilliant #08, High #09, Envy #13 and Bricklane #15.",https://images-eu.ssl-images-amazon.com/images/I/51XnuCvNQ5L.jpg,230-2231,6559,"0.5 Japan nib is robust and delivers a fluid paint line,Water soluble paint allows layering when dry,Suitable for all your artistic projects",4.19,Fineliners,"Pens & Refills",0.79,5.59,2.91,0.13,6,0.66,3.25,0.13
5028252404907,B00MR5I9QS,https://www.amazon.com/dp/B00MR5I9QS,"Reeves-Graphik Line Painter Set: Palette. Experience fluid opaque permanent and water based paint that is perfect for all your artistic projects! This package contains five 0.5 tip line painters in an assortment of colors. Comes in a variety of assorted colors. Each set sold separately. Conforms to ASTM D4236. Imported.",https://images-eu.ssl-images-amazon.com/images/I/51p4Z6dB-4L.jpg,230-2232,6031,"0.5 Japan nib is robust and delivers a fluid paint line,Water soluble paint allows layering when dry,Water based pigment paint,Fine colour even on dark backgrounds",3.94,Fineliners,"Pens & Refills",0.79,5.59,2.91,0.13,6,0.66,3.25,0.13
5028252404938,B00MR5IDBE,https://www.amazon.com/dp/B00MR5IDBE,"Graphik Line Painters are a fine line paint pen filled with lightfast, permanent, opaque waterbased paint in 20 colors. The 0.5 Japan nib is robust and delivers a fluid paint line. This pack contains Jungle #16, Graphite #17, Magic #18, Snow #19, and Fox #20.",https://images-eu.ssl-images-amazon.com/images/I/51LYVzpihXL.jpg,230-2233,17476,"0.5 Japan nib is robust and delivers a fluid paint line,Water soluble paint allows layering when dry,Suitable for all your artistic projects",6.09,"Technical Drawing Supplies","Pens & Refills",0.79,5.28,3.07,0.13,6,0.66,3.25,0.13
5028252301992,B004QQ5I0Q,https://www.amazon.com/dp/B004QQ5I0Q,"2300443 Features: -Inktense block set. -When paint dry is permanent and can be worked over. -Ideal for loose expressive landscapes and colorful still life. -Perfect for creating fine lines or broad strokes of color. -When used dry these blocks deliver pure vibrant color but when washed out it is transformed into an ink like paint. -Inktense collection. Product Type: -Crayons. Dimensions: Overall Height - Top to Bottom: -0.55"". Overall Width - Side to Side: -9.28"". Overall Depth - Front to Back: -7.78"". Overall Product Weight: -0.99 lbs.",https://images-eu.ssl-images-amazon.com/images/I/51JLS4C9RIL.jpg,2300443,2367,"Watersoluble ink blocks that can be used dry or wet,Chunky shape makes them versatile,Easy to blend - colours can be mixed and layered,Use dry to apply fine lines or broad,Use as pans of paint when wet or apply directly to wet paper for intense colour",18.58,Paints,Painting,0.51,9.49,7.91,0.9,7.8,9.3,0.55,0.84
4004764109265,B002UD8566,https://www.amazon.com/dp/B002UD8566,"Edding 361/4S Whtbrd Mrker Bllt Ast Pk4",https://images-eu.ssl-images-amazon.com/images/I/41wvx%2B8XubL.jpg,4-361-4,23180,"Whiteboard marker with lightfast low odour pigment ink,Fine bullet tip approximately 1mm,Can be dry wiped from all non-porous surfaces such as glass, enamel and melamine,Ideal for use in the classroom with lapboards,Refillable",3.84,"Dry Erase & Wet Erase Markers","Markers & Highlighters",0.63,5.83,2.13,0.02,,,,
0887452001003,B00BSR916I,https://www.amazon.com/dp/B00BSR916I,"<ul> <li>Shake well before use to ensure paint is thoroughly mixed.</li> <li>Depress nib a few times to start paint flow. The valve remains open and releases paint the entire time the nib is depressed, so if held down for a long period, a large amount of paint is released.</li> <li>When you see paint appear on the nib pause for a moment. Wait until paint has stopped travelling down the nib before depressing the nib again.</li> <li>When the nib is adequately saturated, test, then apply. Re-pump as necessary but never directly on artwork to avoid paint splodges. It can take a while for paint to start flowing on initial activation. This will not be experienced on subsequent use.</li> </ul>",https://images-eu.ssl-images-amazon.com/images/I/21%2BfIT2szaL.jpg,4620337,19961,"Highly pigmented to ensure brilliance and lightfast colour,Water-based acrylic and low odour paint so you can clean up with soap and water when wet,Lightfast and permanent with precision nibs for optimum control,Conforms to ASTM D4276",3.66,"Dry Erase & Wet Erase Markers","Drawing Media",0.39,4.33,0.55,0.04,0.55,5.59,0.55,0.04
0887452001010,B00BSR91CM,https://www.amazon.com/dp/B00BSR91CM,"<ul> <li>Shake well before use to ensure paint is thoroughly mixed.</li> <li>Depress nib a few times to start paint flow. The valve remains open and releases paint the entire time the nib is depressed, so if held down for a long period, a large amount of paint is released.</li> <li>When you see paint appear on the nib pause for a moment. Wait until paint has stopped travelling down the nib before depressing the nib again.</li> <li>When the nib is adequately saturated, test, then apply. Re-pump as necessary but never directly on artwork to avoid paint splodges. It can take a while for paint to start flowing on initial activation. This will not be experienced on subsequent use.</li> </ul>",https://images-eu.ssl-images-amazon.com/images/I/218W61ZmsSL.jpg,4620239,16361,"Highly pigmented to ensure brilliance and lightfast colour,Water-based acrylic and low odour paint so you can clean up with soap and water when wet,Lightfast and permanent with precision nibs for optimum control,Conforms to ASTM D4277",3.63,"Dry Erase & Wet Erase Markers","Drawing Media",0.16,5.2,0.55,0.04,0.55,5.59,0.55,0.04
0094376922424,B000KNPJUI,https://www.amazon.com/dp/B000KNPJUI,"Basics Acrylics handle beautifully right from the tube, or thinned with water or mediums. They cover almost any surface in one coat and dry to a pleasing semi-gloss finish. Distinctive transparent 4 OZ tubes.",https://images-eu.ssl-images-amazon.com/images/I/41gaITGffyL.jpg,1046311,92323,"Thick, creamy with satin finish,Retains peaks and brush strokes,Suitable for learning colour theory and colour mixing,Conforms to ASTM D4236,Safe for educational use",4.00,Paints,Painting,1,6,1.1,0.3,6.69,1.46,2.44,17.92
0094376932942,B0012EYCJS,https://www.amazon.com/dp/B0012EYCJS,"Liquitex-Basics Acrylic Paint. Developed for students and artists that need quality at an outstanding value. Each color is uniquely formulated to bring out the maximum brilliance and clarity of the individual pigment. BASICS Acrylic Paint is a heavy body acrylic with a 'buttery' consistency for easy blending. Made with permanent artist pigments and retains peaks and brush strokes. It is ideal for learning color theory and color mixing and is intermixable with all Liquitex Professional Acrylic Colors and Mediums. This package contains one 118 mL/4 fl. ounce tube of acrylic paint. Available in a variety of colors and hues: each sold separately. Conforms to ASTM D4236. Imported.",https://images-eu.ssl-images-amazon.com/images/I/41L74hM20yL.jpg,1046163,40868,"Thick, creamy with satin finish,Retains peaks and brush strokes,Suitable for learning colour theory and colour mixing,Conforms to ASTM D4236,Safe for educational use",4.00,Paints,Painting,1.5,5.67,1.65,0.03,6.69,1.46,2.44,0
0094376976069,B00263XVVY,https://www.amazon.com/dp/B00263XVVY,"Liquitex Professional Acrylic Ink is a range of 30 extremely fluid and intensely bold acrylics that use super fine pigments suspended in a state-of-the-art acrylic emulsion.</P><P></P><P>They dry quickly, are permanent, water resistant and non-clogging, which makes them ideal for a variety of techniques from watercolour effects to stamping.",https://images-eu.ssl-images-amazon.com/images/I/41jRiaTZUUL.jpg,4260337,33087,"Opacity: Opaque / Lightfast: I / Color code: 337,Super Fluid; Highly pigmented, extremely fluid with satin finish,Includes 30ml jar of ink,Intermixable with Liquitex Professional Acrylic Paint Colors and Mediums.,Conforms to ASTM D4236; Safe for educational use",5.16,"Technical Drawing Supplies","Pens, Pencils & Writing Supplies",0.9,3.2,1.1,0.1,3.56,1.38,1.38,2.4
0094376975833,B005S0FZDY,https://www.amazon.com/dp/B005S0FZDY,"Liquitex Professional Acrylic Ink is a range of 30 extremely fluid and intensely bold acrylics that use super fine pigments suspended in a state-of-the-art acrylic emulsion.</P><P></P><P>They dry quickly, are permanent, water resistant and non-clogging, which makes them ideal for a variety of techniques from watercolour effects to stamping.",https://images-eu.ssl-images-amazon.com/images/I/41QgYDZpLFL.jpg,4260229,86194,"Opacity: Opaque / Lightfast: I / Color code: 229,Super Fluid; Highly pigmented, extremely fluid with satin finish,Includes 30ml jar of ink,Intermixable with Liquitex Professional Acrylic Paint Colors and Mediums.,Conforms to ASTM D4236; Safe for educational use",5.46,"Technical Drawing Supplies","Pens, Pencils & Writing Supplies",1.18,2.52,1.18,0.09,3.56,1.38,1.38,0.01
0094376924176,B000KNPM46,https://www.amazon.com/dp/B000KNPM46,"Liquitex-Flow Aid Effects Medium. Breaks water tension to improve flow, absorbency and blending of any water based paint, ink or dye and minimizes brush strokes. Great for staining effects on raw canvas. This package contains one 4 ounce bottle of Flow-Aid. Conforms to ASTM D4236. Imported.",https://images-eu.ssl-images-amazon.com/images/I/41oTlyhspGL.jpg,5620,50925,"Suitable for drawing and painting projects,Not suitable for children under three years,Made in USA,Not suitable for children under 3 years",6.24,Paints,"Arts & Crafts",1.5,4.6,2.8,0.02,4.33,1.97,1.97,0.32
0094376931532,B001UNWJKA,https://www.amazon.com/dp/B001UNWJKA,"Liquitex-Gloss Super Heavy Gel. A super thick gel with high surface drag used to create a stiff oil-like feel. Ideal for creating high peaks and sculptural applications that hold shape when dry, with minimal shrinkage. This medium keeps paint workable longer than most other gel mediums. This package contains one 8 ounce bottle of gloss super heavy gel. Conforms to ASTM D4236. Imported.",https://images-eu.ssl-images-amazon.com/images/I/51503agJ8RL.jpg,7408,60936,"Very dense with high surface drag for a stiff, oil-paint-like feel ,Lightweight, non-toxic and dries to a water-resistant, non-yellowing surface,Includes 237ml jar of medium,Intermixable with Liquitex Professional Acrylic Paint Colors and Mediums.,Conforms to ASTM D4236; Safe for educational use",9.38,Paints,Painting,1.6,3.8,2.6,0.6,3.74,2.56,2.56,0.01
