time,keyword,message,asin,brand,title,position
"2018-05-23 08:31:17","nespresso capsules","Nespresso™ Coffee Machines - Discover Our Range",,"Nespresso™ UK",,1
"2018-05-23 08:31:19","nespresso capsules",,B00O28K970,"CRU Kafe",,2
"2018-05-23 08:31:19","nespresso capsules",,B01MS3FCZ8,"Viaggio Espresso",,3
"2018-05-23 08:31:19","nespresso capsules",,B071Y5J7MM,Upod,,4
"2018-05-23 08:31:19","nespresso capsules",,B00R50M3IK,"CRU Kafe",,5
"2018-05-23 08:31:19","nespresso capsules",,B079VFW97G,Upod,,6
"2018-05-23 08:31:19","nespresso capsules",,B00O28K8XU,"CRU Kafe",,7
"2018-05-23 08:31:17",coffee,"Discover the Nescafé Gold Blend Store.",,Nescafé,,1
"2018-05-23 08:31:19",coffee,,B01B50WLWS,"NESCAFÉ Gold Blend",,2
"2018-05-23 08:31:19",coffee,,B0120S5RZC,"Kimera Koffee",,3
"2018-05-23 08:31:23",coffee,,B01B53BPCM,"NESCAFÉ Original",,4
"2018-05-23 08:31:23",coffee,,B00CZ2KYRU,"Cafe Don Pablo",,5
"2018-05-23 08:31:23",coffee,,B0722X5R4V,"Coffee Globetrotter",,6
"2018-05-23 08:31:23",coffee,,B01N9WH808,"San Agustín algunos vicios son inconfesables",,7
"2018-05-23 08:31:23",coffee,,B01NBZ7DPZ,"San Agustín algunos vicios son inconfesables",,8
"2018-05-23 08:31:23",coffee,,B071FR391J,"Coffee Globetrotter",,9
"2018-05-23 08:31:23",coffee,,B01MTF93JO,"The coffee and tea company",,10
"2018-05-23 08:31:20",starbucks,,,,,1
"2018-05-23 08:31:20",nespresso,"Nespresso™ Coffee Machines - Discover Our Range",,"Nespresso™ UK",,1
"2018-05-23 08:31:23",nespresso,,B00J4K3338,NESPRESSO,,2
"2018-05-23 08:31:27",nespresso,,B01MZANEBC,NESPRESSO,,3
"2018-05-23 08:31:27",nespresso,,B06WWNY55G,NESPRESSO,,4
"2018-05-23 08:31:27",nespresso,,B00WR1U9YM,"Taylors of Harrogate",,5
"2018-05-23 08:31:27",nespresso,,B075DL9FF6,NESPRESSO,,6
"2018-05-23 08:31:27",nespresso,,B01N6RT3HI,NESPRESSO,,7
"2018-05-23 08:31:25",tassimo,"Try a variety pack of our most loved hot drinks",,Tassimo,,1
"2018-05-23 08:31:27",tassimo,,B015FR2TZQ,Tassimo,,2
"2018-05-23 08:31:27",tassimo,,B0095FMJE6,Tassimo,,3
"2018-05-23 08:31:27",tassimo,,B073ZSNMWM,Tassimo,,4
"2018-05-23 08:31:27",tassimo,,B0052TP9ZU,Tassimo,,5
"2018-05-23 08:31:31",tassimo,,B00J41BK1O,Tassimo,,6
"2018-05-23 08:31:31",tassimo,,B01ET8FRFQ,Tassimo,,7
"2018-05-23 08:31:29","tassimo pods","Try a variety pack of our most loved hot drinks",,Tassimo,,1
"2018-05-23 08:31:31","tassimo pods",,B07BHNL9V8,Tassimo,,2
"2018-05-23 08:31:31","tassimo pods",,B071JJ2D3W,Tassimo,,3
"2018-05-23 08:31:31","tassimo pods",,B01N1L2SQB,Tassimo,,4
"2018-05-23 08:31:27","tassimo pods",,B015FR2TZQ,Tassimo,,5
"2018-05-23 08:31:31","tassimo pods",,B003BZYWPK,Tassimo,,6
"2018-05-23 08:31:31","tassimo pods",,B00J37DSMI,Tassimo,,7
"2018-05-23 08:31:31","tassimo pods",,B00IJCLKAK,Tassimo,,8
"2018-05-23 08:31:31","tassimo pods",,B00F757G00,Tassimo,,9
"2018-05-23 08:31:27","tassimo pods",,B0095FMJE6,Tassimo,,10
"2018-05-23 08:31:33","costa coffee",,,,,1
"2018-05-23 08:31:40","costa coffee",,B0090261CK,Fresco,,2
"2018-05-23 08:31:40","costa coffee",,B076F8GBYD,202Prints,,3
"2018-05-23 08:31:40","costa coffee",,B01ETJD79S,,,4
"2018-05-23 08:31:40","costa coffee",,B00NOPESZG,"Creative Tops",,5
"2018-05-23 08:31:40","costa coffee",,B01MYF2QRQ,"Kiss Me Organics",,6
"2018-05-23 08:31:40","costa coffee",,B0170ALWUY,"E Bargains UK",,7
"2018-05-23 08:31:33","dolce gusto","The best companion for your coffee",,HiveNets,,1
"2018-05-23 08:31:40","dolce gusto",,B076D43WYP,Lictin,,2
"2018-05-23 08:31:40","dolce gusto",,B073SCJHF5,"POP CAFFE'",,3
"2018-05-23 08:31:40","dolce gusto",,B00LUJLOT6,AmbiClean,,4
"2018-05-23 08:31:40","dolce gusto",,B0798Z1T76,Exzact,,5
"2018-05-23 08:31:40","dolce gusto",,B0170ALWUY,"E Bargains UK",,6
"2018-05-23 08:31:44","dolce gusto",,B010RLCH2U,AmazonBasics,,7
"2018-05-23 08:31:42","dolce gusto pods","The best companion for your coffee",,HiveNets,,1
"2018-05-23 08:31:44","dolce gusto pods",,B072N2WMXN,"Il Caffè italiano",,2
"2018-05-23 08:31:44","dolce gusto pods",,B075GW2PX1,Myristretto,,3
"2018-05-23 08:31:27","dolce gusto pods",,B073ZSNMWM,Tassimo,,4
"2018-05-23 08:31:40","dolce gusto pods",,B076D43WYP,Lictin,,5
"2018-05-23 08:31:44","dolce gusto pods",,B075GNVXPH,CaféPod,,6
"2018-05-23 08:31:40","dolce gusto pods",,B073SCJHF5,"POP CAFFE'",,7
"2018-05-23 08:31:42",espresso,"Nespresso® compatible capsules, Taylors coffee",,"Taylors of Harrogate",,1
"2018-05-23 08:31:44",espresso,,B077PSFGZ6,Krups,,2
"2018-05-23 08:31:44",espresso,,B00P580MDC,Lavazza,,3
"2018-05-23 08:31:44",espresso,,B01MT6FGJG,bonVIVO,,4
"2018-05-23 08:31:44",espresso,,B01JM3D6QU,Vremi,,5
