time,keyword,message,asin,brand,title,position
"2018-06-16 16:52:51","nespresso capsules","Discover the Starbucks range",,Starbucks,,1
"2018-06-16 16:52:53","nespresso capsules",,B00O28K970,"CRU Kafe",,2
"2018-06-16 16:52:53","nespresso capsules",,B00MXKBXXS,Gourmesso,,3
"2018-06-16 16:52:53","nespresso capsules",,B00IHYCT1Y,L'OR,,4
"2018-06-16 16:52:53","nespresso capsules",,B076H7WDWG,Amorcaffe,,5
"2018-06-16 16:52:53","nespresso capsules",,B01MTLRQ2C,"CRU Kafe",,6
"2018-06-16 16:52:53","nespresso capsules",,B01NCUQHMF,L'OR,,7
"2018-06-16 16:52:51",coffee,,,,,1
"2018-06-16 16:52:53",coffee,,B0120S5RZC,"Kimera Koffee",,2
"2018-06-16 16:52:53",coffee,,B01B53BPCM,"NESCAFÉ Original",,3
"2018-06-16 16:53:03",coffee,,B01B50WLWS,"NESCAFÉ Gold Blend",,4
"2018-06-16 16:53:03",coffee,,B078HD5JGF,SACRED,,5
"2018-06-16 16:53:03",coffee,,B00WR1U9QU,"Taylors of Harrogate",,6
"2018-06-16 16:53:03",coffee,,B077GXSM22,Sacred,,7
"2018-06-16 16:53:03",coffee,,B00TGWH9TI,MR.VIET,,8
"2018-06-16 16:53:03",coffee,,B074VJVZX7,"Taylors of Harrogate",,9
"2018-06-16 16:53:03",coffee,,B01LZVWV28,VASCOBELO,,10
"2018-06-16 16:52:56",starbucks,"Discover the Starbucks range",,Starbucks,,1
"2018-06-16 16:53:03",starbucks,,B007M8EQ6M,"Taylors of Harrogate",,2
"2018-06-16 16:53:03",starbucks,,B01IPQSCN2,Ababalaya,,3
"2018-06-16 16:53:00",nespresso,"Discover the irresistible taste of L'OR coffee",,L'OR,,1
"2018-06-16 16:53:07",nespresso,,B00J4K3338,NESPRESSO,,2
"2018-06-16 16:53:07",nespresso,,B01MZANEBC,NESPRESSO,,3
"2018-06-16 16:53:07",nespresso,,B075JLYF1M,Magimix,,4
"2018-06-16 16:53:03",nespresso,,B00WR1U9QU,"Taylors of Harrogate",,5
"2018-06-16 16:53:07",nespresso,,B075DL9FF6,NESPRESSO,,6
"2018-06-16 16:53:07",nespresso,,B00IUGBHOE,NESPRESSO,,7
"2018-06-16 16:53:05",tassimo,"Discover the irresistible taste of L'OR coffee",,Tassimo,,1
"2018-06-16 16:53:07",tassimo,,B00DQ8LILS,Tassimo,,2
"2018-06-16 16:53:07",tassimo,,B007F8TVSW,Tassimo,,3
