time,keyword,message,asin,brand,title,position
"2018-06-19 02:16:27","nespresso capsules","New Nespresso™ Vertuo. Coffee redefined.",,"Nespresso™ UK",,1
"2018-06-19 02:16:30","nespresso capsules",,B071Y3Y9YS,"Must Espresso",,2
"2018-06-19 02:16:30","nespresso capsules",,B06ZZ2NFHX,"Must Espresso",,3
"2018-06-19 02:16:30","nespresso capsules",,B00O28K970,"CRU Kafe",,4
"2018-06-19 02:16:30","nespresso capsules",,B00IHYCT1Y,L'OR,,5
"2018-06-19 02:16:30","nespresso capsules",,B06ZY6KQGX,"Must Espresso",,6
"2018-06-19 02:16:30","nespresso capsules",,B06ZYRPPGK,"Must Espresso",,7
"2018-06-19 02:16:27",coffee,,,,,1
"2018-06-19 02:16:30",coffee,,B0733B51WG,Cafédirect,,2
"2018-06-19 02:16:30",coffee,,B074JBJHJK,"Spiffing Coffee",,3
"2018-06-19 02:16:33",coffee,,B07DCDG82M,"Discover Coffee",,4
"2018-06-19 02:16:33",coffee,,B077KSJR9Y,Starbucks,,5
"2018-06-19 02:16:33",coffee,,B078HD5JGF,SACRED,,6
"2018-06-19 02:16:33",coffee,,B00WR1U9QU,"Taylors of Harrogate",,7
"2018-06-19 02:16:33",coffee,,B00TGWH9TI,MR.VIET,,8
"2018-06-19 02:16:33",coffee,,B074VJVZX7,"Taylors of Harrogate",,9
"2018-06-19 02:16:33",coffee,,B01LZVWV28,VASCOBELO,,10
"2018-06-19 02:16:31",starbucks,"Discover the Starbucks range",,Starbucks,,1
"2018-06-19 02:16:33",starbucks,,B077KSJR9Y,Starbucks,,2
"2018-06-19 02:16:33",starbucks,,B077QK7CPQ,Starbucks,,3
"2018-06-19 02:16:53",starbucks,,B077Q5B12G,Starbucks,,4
"2018-06-19 02:16:53",starbucks,,B007M8EQ6M,"Taylors of Harrogate",,5
"2018-06-19 02:16:53",starbucks,,B01LXAN376,Starbucks,,6
"2018-06-19 02:16:53",starbucks,,B077L2NBHH,Starbucks,,7
"2018-06-19 02:16:50",nespresso,,,,,1
"2018-06-19 02:16:53",nespresso,,B00J4K3338,NESPRESSO,,2
"2018-06-19 02:16:53",nespresso,,B01MZANEBC,NESPRESSO,,3
"2018-06-19 02:16:53",nespresso,,B075JLYF1M,Magimix,,4
"2018-06-19 02:16:33",nespresso,,B00WR1U9QU,"Taylors of Harrogate",,5
"2018-06-19 02:16:53",nespresso,,B06WWNY55G,NESPRESSO,,6
"2018-06-19 02:16:53",nespresso,,B075DL9FF6,NESPRESSO,,7
"2018-06-19 02:16:54",tassimo,,,,,1
"2018-06-19 02:16:57",tassimo,,B00DQ8LILS,Tassimo,,2
"2018-06-19 02:16:57",tassimo,,B007F8TU88,Tassimo,,3
"2018-06-19 02:16:57",tassimo,,B016DEGFWI,Tassimo,,4
"2018-06-19 02:16:57",tassimo,,B007GIBK9Y,Tassimo,,5
"2018-06-19 02:16:57",tassimo,,B072L67CHB,Tassimo,,6
"2018-06-19 02:16:57",tassimo,,B06XTP6JJ3,"CAFE CONCETTO",,7
"2018-06-19 02:16:54","tassimo pods","Try a variety pack of our most loved hot drinks",,Tassimo,,1
"2018-06-19 02:16:57","tassimo pods",,B07BHNL9V8,Tassimo,,2
"2018-06-19 02:16:57","tassimo pods",,B008OQBYAC,Tassimo,,3
"2018-06-19 02:17:04","tassimo pods",,B01ET8FRFQ,Tassimo,,4
"2018-06-19 02:16:57","tassimo pods",,B072L67CHB,Tassimo,,5
"2018-06-19 02:17:04","tassimo pods",,B01C3R6B00,Recaps,,6
"2018-06-19 02:17:04","tassimo pods",,B074H7BNRF,"Real Coffee",,7
"2018-06-19 02:17:04","tassimo pods",,B074121MFK,Tassimo,,8
"2018-06-19 02:17:04","tassimo pods",,B00J37DSMI,Tassimo,,9
"2018-06-19 02:16:57","tassimo pods",,B00DQ8LILS,Tassimo,,10
"2018-06-19 02:16:58","costa coffee",,,,,1
"2018-06-19 02:17:04","costa coffee",,B076F8GBYD,202Prints,,2
"2018-06-19 02:17:04","costa coffee",,B07DP3SSCV,"Bang Tidy Clothing",,3
"2018-06-19 02:17:04","costa coffee",,B01ETJD79S,,,4
"2018-06-19 02:17:04","costa coffee",,B0798Z1T76,Exzact,,5
"2018-06-19 02:17:04","costa coffee",,B0090261F2,Fresco,,6
"2018-06-19 02:17:08","costa coffee",,B0170ALWUY,"E Bargains UK",,7
"2018-06-19 02:17:06","dolce gusto",,,,,1
"2018-06-19 02:17:08","dolce gusto",,B073SCJHF5,"POP CAFFE'",,2
"2018-06-19 02:17:08","dolce gusto",,B076D43WYP,Lictin,,3
"2018-06-19 02:17:04","dolce gusto",,B0798Z1T76,Exzact,,4
"2018-06-19 02:17:08","dolce gusto",,B010RLCH2U,AmazonBasics,,5
