time,keyword
"2018-04-12 14:48:10",nespresso
"2018-04-12 14:48:10","cialde nespresso"
"2018-04-12 14:48:10","capsule nespresso"
"2018-04-12 14:48:10","capsule dolce gusto"
"2018-04-12 14:48:10","dolce gusto"
"2018-04-12 14:48:10","lavazza a modo mio"
"2018-04-12 14:48:10","cialde borbone"
"2018-04-12 14:48:10","cialde lavazza a modo mio"
"2018-04-12 14:48:10","caffe borbone"
"2018-04-12 14:48:10","caffe borbone cialde"
"2018-04-12 14:48:10",caffe
"2018-04-12 14:48:10","a modo mio capsule"
"2018-04-12 14:48:10","a modo mio macchina caffe"
"2018-04-12 14:48:10","a modo mio"
"2018-04-12 14:48:10","caffe americano"
"2018-04-12 14:48:10","capsule lavazza a modo mio"
"2018-04-12 14:48:10","capsule compatibili nespresso"
"2018-04-12 14:48:10","capsule nescafe dolce gusto"
"2018-04-12 14:48:10","cialde caffe"
"2018-04-12 14:48:10",cialde
"2018-04-12 14:48:10","cialde lavazza"
"2018-04-12 14:48:10","cialde a modo mio"
"2018-04-12 14:48:10","caffe verde"
"2018-04-12 14:48:10","caffe in grani"
"2018-04-12 14:48:10","caffe vergnano"
"2018-04-12 14:48:10","caffe borbone a modo mio"
"2018-04-12 14:48:10","caffe solubile"
"2018-04-12 14:48:10","caffe lavazza"
"2018-04-12 14:48:10","caffe cialde"
"2018-04-12 14:48:10","caffe nespresso"
"2018-04-12 14:48:10","caffe decaffeinato"
"2018-04-12 14:48:10","caffe borbone nespresso"
"2018-04-12 14:48:10","caffe espresso"
"2018-04-12 14:48:10","caffe illy"
"2018-04-12 14:48:10","caffe borbone respresso"
"2018-04-12 14:48:10","caffe italiano"
"2018-04-12 14:48:10","caffe in cialde"
"2018-04-12 14:48:10","caffe pellini"
"2018-04-12 14:48:10","caffè borbone"
"2018-04-12 14:48:10","caffè borbone cialde"
"2018-04-12 14:48:10",caffè
"2018-04-12 14:48:10","a modo mio macchina caffè"
"2018-04-12 14:48:10","caffè americano"
"2018-04-12 14:48:10","cialde caffè"
"2018-04-12 14:48:10","caffè verde"
"2018-04-12 14:48:10","caffè in grani"
"2018-04-12 14:48:10","caffè vergnano"
"2018-04-12 14:48:10","caffè borbone a modo mio"
"2018-04-12 14:48:10","caffè solubile"
"2018-04-12 14:48:10","caffè lavazza"
"2018-04-12 14:48:10","caffè cialde"
"2018-04-12 14:48:10","caffè nespresso"
"2018-04-12 14:48:10","caffè decaffèinato"
"2018-04-12 14:48:10","caffè borbone nespresso"
"2018-04-12 14:48:10","caffè espresso"
"2018-04-12 14:48:10","caffè illy"
"2018-04-12 14:48:10","caffè borbone respresso"
"2018-04-12 14:48:10","caffè italiano"
"2018-04-12 14:48:10","caffè in cialde"
"2018-04-12 14:48:10","caffè pellini"
